region,sector,Scope 1,Scope 2,Scope 3,Total lifecycle
BE,Production of electricity by nuclear,10555.535076941253,711.6671283633829,49342.35213683144,60609.55434213608
BE,Production of electricity by hydro,580744.5274704611,373.31674130237946,95217.89806206897,676335.7422738324
BE,Production of electricity by wind,14051867.325223135,734.0640295792017,76552.42784160827,14129153.817094322
BE,Production of electricity by petroleum and other oil derivatives,405843.29180125386,937.628697510731,252888.97705557445,659669.897554339
BE,Production of electricity by biomass and waste,1794328.9332554264,392.08757408548433,413172.7148114731,2207893.735640985
BE,Production of electricity by solar photovoltaic,716.7692983353596,633.1838427060832,71834.5965312858,73184.54967232725
BE,Production of electricity by solar thermal,0.0,0.0,0.0,0.0
BE,"Production of electricity by tide, wave, ocean",0.0,0.0,0.0,0.0
BE,Production of electricity by Geothermal,0.0,0.0,0.0,0.0
BE,Production of electricity nec,566891.3413885373,959.5858773357146,110001.92553670242,677852.8528025754
BE,Transmission of electricity,4562.631665365632,172139.02740670752,149681.09601305897,326382.75508513214
BE,Distribution and trade of electricity,64388.207520976735,121577.0189199183,114114.38669927201,300079.613140167
BE,Manufacture of gas; distribution of gaseous fuels through mains,874168.0818715417,2578.081991288105,245330.03707348113,1122076.200936311
BE,Steam and hot water supply,47256399.6931475,293.142799789412,88068.51926918855,47344761.35521648
BE,"Collection, purification and distribution of water (41)",28078.793841528848,3327.555678785382,236370.1506701373,267776.5001904515
BE,Construction (45),7906.635944571992,1256.8740733689513,399554.11282260285,408717.6228405438
BE,Re-processing of secondary construction material into aggregates,4451.767059631309,1701.7616215029877,48202.52313476261,54356.051815896906
BE,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",16804.850625721938,454.4129282654533,156448.360445073,173707.6239990604
BE,Retail sale of automotive fuel,31293.318960408298,942.4888073329366,281883.57823525084,314119.38600299205
BE,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",29177.27209526432,197.48742732753217,77642.42771996789,107017.18724255974
BE,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",60083.44835223001,1584.1614882084812,41640.50889174763,103308.11873218612
BE,Hotels and restaurants (55),10882.862140229774,7468.077422240572,247292.21399122197,265643.15355369233
BE,Transport via railways,22547.512233595917,4530.4152109228835,320767.8930297802,347845.820474299
BE,Other land transport,3372.575459429047,5617.474511264255,261476.46745917376,270466.51742986706
BE,Transport via pipelines,147821.295824591,3595.594861864288,4367956.683110754,4519373.573797209
BE,Sea and coastal water transport,846693.1026332591,762.2425956651851,912658.6231768295,1760113.9684057538
BE,Inland water transport,713960.7625994064,1206.0801023103643,248538.65235369364,963705.4950554104
BE,Air transport (62),713961.5713275096,1167.5777553605628,464549.69944764447,1179678.8485305146
